Lady Mikage | lvl 60 | rank 6 | Mythical
Occult Brawler | lvl 60 | rank 6 | Epic
Maneater | lvl 60 | rank 6 | Epic
Maneater | lvl 60 | rank 6 | Epic
Magnarr | lvl 60 | rank 6 | Epic
Lady Annabelle | lvl 60 | rank 6 | Epic
Kellan the Shrike | lvl 60 | rank 6 | Epic
Husk | lvl 60 | rank 6 | Epic
High Khatun | lvl 60 | rank 6 | Epic
Gorgorab | lvl 60 | rank 6 | Epic
Godseeker Aniri | lvl 60 | rank 6 | Epic
Geomancer | lvl 60 | rank 6 | Epic
Genbo the Dishonored | lvl 60 | rank 6 | Epic
Fenax | lvl 60 | rank 6 | Epic
Fayne | lvl 60 | rank 6 | Epic
Fahrakin the Fat | lvl 60 | rank 6 | Epic
Dhukk the Pierced | lvl 60 | rank 6 | Epic
Demytha | lvl 60 | rank 6 | Epic
Deacon Armstrong | lvl 60 | rank 6 | Epic
Alure | lvl 60 | rank 6 | Epic
Akemtum | lvl 60 | rank 6 | Epic
Kael | lvl 60 | rank 6 | Rare
Fellhound | lvl 60 | rank 6 | Rare
Coldheart | lvl 60 | rank 6 | Rare
Coldheart | lvl 60 | rank 6 | Rare
Apothecary | lvl 60 | rank 6 | Rare
Hephraak | lvl 59 | rank 6 | Legendary
Scabrius | lvl 58 | rank 6 | Epic
Walking Tomb Dreng | lvl 56 | rank 6 | Legendary
Tyrant Ixlimor | lvl 54 | rank 6 | Legendary
Uugo | lvl 54 | rank 6 | Epic
Kantra the Cyclone | lvl 51 | rank 6 | Legendary
Deliana | lvl 42 | rank 6 | Legendary
Lanakis the Chosen | lvl 8 | rank 6 | Legendary
Zavia | lvl 50 | rank 5 | Legendary
Yakarl the Scourge | lvl 50 | rank 5 | Legendary
Versulf the Grim | lvl 50 | rank 5 | Legendary
Truath | lvl 50 | rank 5 | Legendary
Suzerain Katonn | lvl 50 | rank 5 | Legendary
Skeletor | lvl 50 | rank 5 | Legendary
Sigmund the Highshield | lvl 50 | rank 5 | Legendary
Shamrock | lvl 50 | rank 5 | Legendary
Saito | lvl 50 | rank 5 | Legendary
Roxam | lvl 50 | rank 5 | Legendary
Richtoff the Bold | lvl 50 | rank 5 | Legendary
Rhazin Scarhide | lvl 50 | rank 5 | Legendary
Raglin | lvl 50 | rank 5 | Legendary
Opardin Clanfather | lvl 50 | rank 5 | Legendary
Opardin Clanfather | lvl 50 | rank 5 | Legendary
Norog | lvl 50 | rank 5 | Legendary
Narma the Returned | lvl 50 | rank 5 | Legendary
Nari the Lucky | lvl 50 | rank 5 | Legendary
Minaya | lvl 50 | rank 5 | Legendary
Lonatharil | lvl 50 | rank 5 | Legendary
Loki the Deceiver | lvl 50 | rank 5 | Legendary
Keeyra the Watcher | lvl 50 | rank 5 | Legendary
Keeyra the Watcher | lvl 50 | rank 5 | Legendary
Iudex Artor | lvl 50 | rank 5 | Legendary
Holsring | lvl 50 | rank 5 | Legendary
Hephraak | lvl 50 | rank 5 | Legendary
Harvest Jack | lvl 50 | rank 5 | Legendary
Hansel Witchhunter | lvl 50 | rank 5 | Legendary
Guurda Bogbrew | lvl 50 | rank 5 | Legendary
Greathoof Loriaca | lvl 50 | rank 5 | Legendary
Gliseah Soulguide | lvl 50 | rank 5 | Legendary
Ghostborn | lvl 50 | rank 5 | Legendary
Gamuran | lvl 50 | rank 5 | Legendary
Ezio Auditore | lvl 50 | rank 5 | Legendary
Elder Skarg | lvl 50 | rank 5 | Legendary
Cleopterix | lvl 50 | rank 5 | Legendary
Bloodgorged | lvl 50 | rank 5 | Legendary
Basileus Roanas | lvl 50 | rank 5 | Legendary
Aleksandr the Sharpshooter | lvl 50 | rank 5 | Legendary
White Dryad Nia | lvl 50 | rank 5 | Epic
Ursala the Mourner | lvl 50 | rank 5 | Epic
Sir Artimage | lvl 50 | rank 5 | Epic
Sinesha | lvl 50 | rank 5 | Epic
Sepulcher Sentinel | lvl 50 | rank 5 | Epic
Rugnor Goldgleam | lvl 50 | rank 5 | Epic
Royal Guard | lvl 50 | rank 5 | Epic
Rector Drath | lvl 50 | rank 5 | Epic
Mordecai | lvl 50 | rank 5 | Epic
Mistrider Daithi | lvl 50 | rank 5 | Epic
Miscreated Monster | lvl 50 | rank 5 | Epic
Madame Serris | lvl 50 | rank 5 | Epic
Baerdal Fellhammer | lvl 50 | rank 5 | Epic
Paragon | lvl 50 | rank 5 | Rare
Pain Keeper | lvl 50 | rank 5 | Rare
Pain Keeper | lvl 50 | rank 5 | Rare
Mountain King | lvl 29 | rank 5 | Legendary
Astralith | lvl 29 | rank 5 | Legendary
Chronicler Adelyn | lvl 28 | rank 5 | Legendary
Abbess | lvl 28 | rank 5 | Legendary
Ma'Shalled | lvl 27 | rank 5 | Legendary
Tayrel | lvl 26 | rank 5 | Epic
Yannica | lvl 1 | rank 5 | Legendary
Versulf the Grim | lvl 1 | rank 5 | Legendary
Skartorsis | lvl 1 | rank 5 | Legendary
Shemnath | lvl 1 | rank 5 | Legendary
Rhazin Scarhide | lvl 1 | rank 5 | Legendary
Norog | lvl 1 | rank 5 | Legendary
Hakkorhn Smashlord | lvl 1 | rank 5 | Legendary
Anax | lvl 1 | rank 5 | Epic
Hound Spawn | lvl 1 | rank 5 | Rare
Wyrennon the Silken | lvl 40 | rank 4 | Epic
Wuzgar | lvl 40 | rank 4 | Epic
Wuzgar | lvl 40 | rank 4 | Epic
Weregren Suncursed | lvl 40 | rank 4 | Epic
Vrask | lvl 40 | rank 4 | Epic
Vildrax | lvl 40 | rank 4 | Epic
Vildrax | lvl 40 | rank 4 | Epic
Tomoe | lvl 40 | rank 4 | Epic
Tayrel | lvl 40 | rank 4 | Epic
Stag Knight | lvl 40 | rank 4 | Epic
Skullcrusher | lvl 40 | rank 4 | Epic
Rector Drath | lvl 40 | rank 4 | Epic
Melga Steelgirdle | lvl 40 | rank 4 | Epic
Magnarr | lvl 40 | rank 4 | Epic
Luthiea | lvl 40 | rank 4 | Epic
Hope | lvl 40 | rank 4 | Epic
Hexia | lvl 40 | rank 4 | Epic
Fylja | lvl 40 | rank 4 | Epic
Fahrakin the Fat | lvl 40 | rank 4 | Epic
Duedan the Runic | lvl 40 | rank 4 | Epic
Dirandil | lvl 40 | rank 4 | Epic
Dark Athel | lvl 40 | rank 4 | Epic
Conellia | lvl 40 | rank 4 | Epic
Burangiri | lvl 40 | rank 4 | Epic
Broodlord | lvl 40 | rank 4 | Epic
Akemtum | lvl 40 | rank 4 | Epic
Gala Longbraids | lvl 39 | rank 4 | Epic
Deacon Armstrong | lvl 28 | rank 4 | Epic
Silvain the Paramour | lvl 26 | rank 4 | Rare
Scrapper | lvl 26 | rank 4 | Rare
Dagger | lvl 26 | rank 4 | Rare
Dagger | lvl 26 | rank 4 | Rare
Lady Quilen | lvl 25 | rank 4 | Epic
Conellia | lvl 25 | rank 4 | Epic
Dagger | lvl 25 | rank 4 | Rare
Skytouched Shaman | lvl 23 | rank 4 | Epic
Gorlos Hellmaw | lvl 23 | rank 4 | Epic
Chonoru | lvl 23 | rank 4 | Epic
Ursine Ironhide | lvl 22 | rank 4 | Epic
Ultimate Galek | lvl 22 | rank 4 | Epic
Skeuramis | lvl 22 | rank 4 | Epic
Rearguard Sergeant | lvl 22 | rank 4 | Epic
Mistrider Daithi | lvl 22 | rank 4 | Epic
Zargala | lvl 21 | rank 4 | Epic
Yelagirna | lvl 21 | rank 4 | Epic
Wyrennon the Silken | lvl 21 | rank 4 | Epic
Woad-Painted | lvl 21 | rank 4 | Epic
Woad-Painted | lvl 21 | rank 4 | Epic
Weregren Suncursed | lvl 21 | rank 4 | Epic
Warcaster | lvl 21 | rank 4 | Epic
Vrask | lvl 21 | rank 4 | Epic
Visionary | lvl 21 | rank 4 | Epic
Venomage | lvl 21 | rank 4 | Epic
Valla | lvl 21 | rank 4 | Epic
Valla | lvl 21 | rank 4 | Epic
Urticata | lvl 21 | rank 4 | Epic
Ursine Ironhide | lvl 21 | rank 4 | Epic
Ursine Ironhide | lvl 21 | rank 4 | Epic
Umetogi | lvl 21 | rank 4 | Epic
Umetogi | lvl 21 | rank 4 | Epic
Umetogi | lvl 21 | rank 4 | Epic
Trumborr | lvl 21 | rank 4 | Epic
Torturehelm | lvl 21 | rank 4 | Epic
Tomoe | lvl 21 | rank 4 | Epic
Thenasil | lvl 21 | rank 4 | Epic
Tayrel | lvl 21 | rank 4 | Epic
Tarshon | lvl 21 | rank 4 | Epic
Tarshon | lvl 21 | rank 4 | Epic
Tarshon | lvl 21 | rank 4 | Epic
Suwai Firstborn | lvl 21 | rank 4 | Epic
Spider | lvl 21 | rank 4 | Epic
Skytouched Shaman | lvl 21 | rank 4 | Epic
Skullcrusher | lvl 21 | rank 4 | Epic
Skullcrusher | lvl 21 | rank 4 | Epic
Skeuramis | lvl 21 | rank 4 | Epic
Skeuramis | lvl 21 | rank 4 | Epic
Sikara | lvl 21 | rank 4 | Epic
Sikara | lvl 21 | rank 4 | Epic
Siegehulk | lvl 21 | rank 4 | Epic
Siegehulk | lvl 21 | rank 4 | Epic
Siegehulk | lvl 21 | rank 4 | Epic
Siegehulk | lvl 21 | rank 4 | Epic
Shatterbones | lvl 21 | rank 4 | Epic
Sepulcher Sentinel | lvl 21 | rank 4 | Epic
Seneschal | lvl 21 | rank 4 | Epic
Seneschal | lvl 21 | rank 4 | Epic
Sandlashed Survivor | lvl 21 | rank 4 | Epic
Ruella | lvl 21 | rank 4 | Epic
Ripper | lvl 21 | rank 4 | Epic
Rector Drath | lvl 21 | rank 4 | Epic
Rearguard Sergeant | lvl 21 | rank 4 | Epic
Pitiless One | lvl 21 | rank 4 | Epic
Phranox | lvl 21 | rank 4 | Epic
Phranox | lvl 21 | rank 4 | Epic
Pharsalas Gravedirt | lvl 21 | rank 4 | Epic
Pestilus | lvl 21 | rank 4 | Epic
Occult Brawler | lvl 21 | rank 4 | Epic
Oathbound | lvl 21 | rank 4 | Epic
Myciliac Priest Orn | lvl 21 | rank 4 | Epic
Morag Bronzelock | lvl 21 | rank 4 | Epic
Missionary | lvl 21 | rank 4 | Epic
Miscreated Monster | lvl 21 | rank 4 | Epic
Miscreated Monster | lvl 21 | rank 4 | Epic
Merouka | lvl 21 | rank 4 | Epic
Melga Steelgirdle | lvl 21 | rank 4 | Epic
Masamoto | lvl 21 | rank 4 | Epic
Masamoto | lvl 21 | rank 4 | Epic
Maneater | lvl 21 | rank 4 | Epic
Luthiea | lvl 21 | rank 4 | Epic
Kunoichi | lvl 21 | rank 4 | Epic
Kunoichi | lvl 21 | rank 4 | Epic
Kallia | lvl 21 | rank 4 | Epic
Juliana | lvl 21 | rank 4 | Epic
Jinglehunter | lvl 21 | rank 4 | Epic
Jareg | lvl 21 | rank 4 | Epic
Jareg | lvl 21 | rank 4 | Epic
Hotatsu | lvl 21 | rank 4 | Epic
Hoskarul | lvl 21 | rank 4 | Epic
Hope | lvl 21 | rank 4 | Epic
Hexia | lvl 21 | rank 4 | Epic
Gory | lvl 21 | rank 4 | Epic
Gorlos Hellmaw | lvl 21 | rank 4 | Epic
Golden Reaper | lvl 21 | rank 4 | Epic
Giscard the Sigiled | lvl 21 | rank 4 | Epic
Giscard the Sigiled | lvl 21 | rank 4 | Epic
Frostbringer | lvl 21 | rank 4 | Epic
Flesh-Tearer | lvl 21 | rank 4 | Epic
Flesh-Tearer | lvl 21 | rank 4 | Epic
Flesh-Tearer | lvl 21 | rank 4 | Epic
Fang Cleric | lvl 21 | rank 4 | Epic
Fang Cleric | lvl 21 | rank 4 | Epic
Erinyes | lvl 21 | rank 4 | Epic
Eolfrig | lvl 21 | rank 4 | Epic
Enda Moonbeam | lvl 21 | rank 4 | Epic
Enda Moonbeam | lvl 21 | rank 4 | Epic
Enda Moonbeam | lvl 21 | rank 4 | Epic
Duedan the Runic | lvl 21 | rank 4 | Epic
Doompriest | lvl 21 | rank 4 | Epic
Dirandil | lvl 21 | rank 4 | Epic
Deathless | lvl 21 | rank 4 | Epic
Dark Elhain | lvl 21 | rank 4 | Epic
Dark Elhain | lvl 21 | rank 4 | Epic
Crimson Helm | lvl 21 | rank 4 | Epic
Crimson Helm | lvl 21 | rank 4 | Epic
Crimson Helm | lvl 21 | rank 4 | Epic
Chonoru | lvl 21 | rank 4 | Epic
Catacomb Councilor | lvl 21 | rank 4 | Epic
Captain Temila | lvl 21 | rank 4 | Epic
Captain Temila | lvl 21 | rank 4 | Epic
Cagebreaker | lvl 21 | rank 4 | Epic
Bushi | lvl 21 | rank 4 | Epic
Burangiri | lvl 21 | rank 4 | Epic
Broodlord | lvl 21 | rank 4 | Epic
Bowf the Rancid | lvl 21 | rank 4 | Epic
Bonekeeper | lvl 21 | rank 4 | Epic
Bonekeeper | lvl 21 | rank 4 | Epic
Bergoth the Malformed | lvl 21 | rank 4 | Epic
Balthus Drauglord | lvl 21 | rank 4 | Epic
Atur | lvl 21 | rank 4 | Epic
Atur | lvl 21 | rank 4 | Epic
Aothar | lvl 21 | rank 4 | Epic
Aothar | lvl 21 | rank 4 | Epic
Anchorite | lvl 21 | rank 4 | Epic
Anax | lvl 21 | rank 4 | Epic
Anax | lvl 21 | rank 4 | Epic
Pain Keeper | lvl 21 | rank 4 | Rare
Zelotah | lvl 20 | rank 4 | Epic
Zelotah | lvl 20 | rank 4 | Epic
Vogoth | lvl 20 | rank 4 | Epic
Vergis | lvl 20 | rank 4 | Epic
Ursine Ironhide | lvl 20 | rank 4 | Epic
Rian the Conjurer | lvl 20 | rank 4 | Epic
Neldor Rimeblade | lvl 20 | rank 4 | Epic
Mordecai | lvl 20 | rank 4 | Epic
Lorn the Cutter | lvl 20 | rank 4 | Epic
Locwain | lvl 20 | rank 4 | Epic
Lady Quilen | lvl 20 | rank 4 | Epic
Jotunn | lvl 20 | rank 4 | Epic
Golden Reaper | lvl 20 | rank 4 | Epic
Fylja | lvl 20 | rank 4 | Epic
Fayne | lvl 20 | rank 4 | Epic
Demytha | lvl 20 | rank 4 | Epic
Chani | lvl 20 | rank 4 | Epic
Baroth the Bloodsoaked | lvl 20 | rank 4 | Epic
Alure | lvl 20 | rank 4 | Epic
Achak the Wendarin | lvl 20 | rank 4 | Epic
Achak the Wendarin | lvl 20 | rank 4 | Epic
Dark Kael | lvl 14 | rank 4 | Epic
Captain Temila | lvl 14 | rank 4 | Epic
Commander | lvl 14 | rank 4 | Uncommon
Signy of Highshield | lvl 9 | rank 4 | Epic
Royal Guard | lvl 9 | rank 4 | Epic
Zelotah | lvl 1 | rank 4 | Epic
Yaga the Insatiable | lvl 1 | rank 4 | Epic
Vrask | lvl 1 | rank 4 | Epic
Vrask | lvl 1 | rank 4 | Epic
Vogoth | lvl 1 | rank 4 | Epic
Vogoth | lvl 1 | rank 4 | Epic
Vildrax | lvl 1 | rank 4 | Epic
Urogrim | lvl 1 | rank 4 | Epic
Ultimate Galek | lvl 1 | rank 4 | Epic
Toragi the Frog | lvl 1 | rank 4 | Epic
Tolf the Maimed | lvl 1 | rank 4 | Epic
Thorn Golem | lvl 1 | rank 4 | Epic
Tagoar | lvl 1 | rank 4 | Epic
Stag Knight | lvl 1 | rank 4 | Epic
Skraank | lvl 1 | rank 4 | Epic
Sir Artimage | lvl 1 | rank 4 | Epic
Seeker | lvl 1 | rank 4 | Epic
Sandlashed Survivor | lvl 1 | rank 4 | Epic
Ruella | lvl 1 | rank 4 | Epic
Royal Guard | lvl 1 | rank 4 | Epic
Romero | lvl 1 | rank 4 | Epic
Quargan the Crowned | lvl 1 | rank 4 | Epic
Pharsalas Gravedirt | lvl 1 | rank 4 | Epic
Ostrox Boneglaive | lvl 1 | rank 4 | Epic
Old Ghrukkus | lvl 1 | rank 4 | Epic
Old Ghrukkus | lvl 1 | rank 4 | Epic
Nogoryo | lvl 1 | rank 4 | Epic
Myciliac Priest Orn | lvl 1 | rank 4 | Epic
Mordecai | lvl 1 | rank 4 | Epic
Mordecai | lvl 1 | rank 4 | Epic
Missionary | lvl 1 | rank 4 | Epic
Miscreated Monster | lvl 1 | rank 4 | Epic
Masked Fearmonger | lvl 1 | rank 4 | Epic
Magnarr | lvl 1 | rank 4 | Epic
Lady Quilen | lvl 1 | rank 4 | Epic
Jareg | lvl 1 | rank 4 | Epic
Hotatsu | lvl 1 | rank 4 | Epic
Hoskarul | lvl 1 | rank 4 | Epic
Hoforees the Tusked | lvl 1 | rank 4 | Epic
High Khatun | lvl 1 | rank 4 | Epic
Hexia | lvl 1 | rank 4 | Epic
Gorgorab | lvl 1 | rank 4 | Epic
Giscard the Sigiled | lvl 1 | rank 4 | Epic
Gerhard the Stone | lvl 1 | rank 4 | Epic
Geomancer | lvl 1 | rank 4 | Epic
Galkut | lvl 1 | rank 4 | Epic
Fylja | lvl 1 | rank 4 | Epic
Frostbringer | lvl 1 | rank 4 | Epic
Frostbringer | lvl 1 | rank 4 | Epic
Fayne | lvl 1 | rank 4 | Epic
Enda Moonbeam | lvl 1 | rank 4 | Epic
Dhukk the Pierced | lvl 1 | rank 4 | Epic
Deathless | lvl 1 | rank 4 | Epic
Dark Elhain | lvl 1 | rank 4 | Epic
Crimson Helm | lvl 1 | rank 4 | Epic
Corpse Collector | lvl 1 | rank 4 | Epic
Conellia | lvl 1 | rank 4 | Epic
Captain Temila | lvl 1 | rank 4 | Epic
Canoness | lvl 1 | rank 4 | Epic
Bushi | lvl 1 | rank 4 | Epic
Bovos Sharphorn | lvl 1 | rank 4 | Epic
Basher | lvl 1 | rank 4 | Epic
Baroth the Bloodsoaked | lvl 1 | rank 4 | Epic
Arwydd Quivergrass | lvl 1 | rank 4 | Epic
Arwydd Quivergrass | lvl 1 | rank 4 | Epic
Andryssia | lvl 1 | rank 4 | Epic
Anchorite | lvl 1 | rank 4 | Epic
Anax | lvl 1 | rank 4 | Epic
Alika | lvl 1 | rank 4 | Epic
Alaric the Hooded | lvl 1 | rank 4 | Epic
Veteran | lvl 1 | rank 4 | Rare
Veteran | lvl 1 | rank 4 | Rare
Teryx the Restless | lvl 1 | rank 4 | Rare
Stitched Beast | lvl 1 | rank 4 | Rare
Steel Bowyer | lvl 1 | rank 4 | Rare
Selinia Nightcloak | lvl 1 | rank 4 | Rare
Ruffstone | lvl 1 | rank 4 | Rare
Rockbeast | lvl 1 | rank 4 | Rare
Renouncer | lvl 1 | rank 4 | Rare
Renouncer | lvl 1 | rank 4 | Rare
Renegade | lvl 1 | rank 4 | Rare
Renegade | lvl 1 | rank 4 | Rare
Renegade | lvl 1 | rank 4 | Rare
Ragemonger | lvl 1 | rank 4 | Rare
Paragon | lvl 1 | rank 4 | Rare
Paragon | lvl 1 | rank 4 | Rare
Ordinator | lvl 1 | rank 4 | Rare
Magister | lvl 1 | rank 4 | Rare
Justiciar | lvl 1 | rank 4 | Rare
Justiciar | lvl 1 | rank 4 | Rare
Justiciar | lvl 1 | rank 4 | Rare
Honor Guard | lvl 1 | rank 4 | Rare
Harvester | lvl 1 | rank 4 | Rare
Harvester | lvl 1 | rank 4 | Rare
Fencer | lvl 1 | rank 4 | Rare
Doomscreech | lvl 1 | rank 4 | Rare
Denid the Tusk Knight | lvl 1 | rank 4 | Rare
Dagger | lvl 1 | rank 4 | Rare
Dagger | lvl 1 | rank 4 | Rare
Chaplain | lvl 1 | rank 4 | Rare
Banshee | lvl 1 | rank 4 | Rare
Arbalester | lvl 1 | rank 4 | Rare
Ragemonger | lvl 22 | rank 3 | Rare
Ox | lvl 17 | rank 3 | Rare
Bulwark | lvl 17 | rank 3 | Rare
Valerie | lvl 15 | rank 3 | Rare
Valerie | lvl 15 | rank 3 | Rare
Loneblade Riab | lvl 8 | rank 3 | Rare
Medicus | lvl 6 | rank 3 | Rare
Warmaiden | lvl 1 | rank 3 | Rare
Warmaiden | lvl 1 | rank 3 | Rare
Warmaiden | lvl 1 | rank 3 | Rare
Warmaiden | lvl 1 | rank 3 | Rare
Wagonbane | lvl 1 | rank 3 | Rare
Wagonbane | lvl 1 | rank 3 | Rare
Veteran | lvl 1 | rank 3 | Rare
Veteran | lvl 1 | rank 3 | Rare
Vanguard | lvl 1 | rank 3 | Rare
Valerie | lvl 1 | rank 3 | Rare
Valerie | lvl 1 | rank 3 | Rare
Valerie | lvl 1 | rank 3 | Rare
Treeshield Knott | lvl 1 | rank 3 | Rare
Treeshield Knott | lvl 1 | rank 3 | Rare
Tormentor | lvl 1 | rank 3 | Rare
Tormentor | lvl 1 | rank 3 | Rare
Steel Bowyer | lvl 1 | rank 3 | Rare
Steel Bowyer | lvl 1 | rank 3 | Rare
Steadfast Marshal | lvl 1 | rank 3 | Rare
Steadfast Marshal | lvl 1 | rank 3 | Rare
Spikehead | lvl 1 | rank 3 | Rare
Spikehead | lvl 1 | rank 3 | Rare
Spikehead | lvl 1 | rank 3 | Rare
Slayer | lvl 1 | rank 3 | Rare
Slayer | lvl 1 | rank 3 | Rare
Skirmisher | lvl 1 | rank 3 | Rare
Skirmisher | lvl 1 | rank 3 | Rare
Skink | lvl 1 | rank 3 | Rare
Skink | lvl 1 | rank 3 | Rare
Shadowbow Tirlac | lvl 1 | rank 3 | Rare
Shadowbow Tirlac | lvl 1 | rank 3 | Rare
Shadowbow Tirlac | lvl 1 | rank 3 | Rare
Selinia Nightcloak | lvl 1 | rank 3 | Rare
Selinia Nightcloak | lvl 1 | rank 3 | Rare
Sanctum Protector | lvl 1 | rank 3 | Rare
Sanctum Protector | lvl 1 | rank 3 | Rare
Ruffstone | lvl 1 | rank 3 | Rare
Ruffstone | lvl 1 | rank 3 | Rare
Rotting Mage | lvl 1 | rank 3 | Rare
Rotting Mage | lvl 1 | rank 3 | Rare
Rocktooth | lvl 1 | rank 3 | Rare
Rocktooth | lvl 1 | rank 3 | Rare
Rocktooth | lvl 1 | rank 3 | Rare
Retainer | lvl 1 | rank 3 | Rare
Reliquary Tender | lvl 1 | rank 3 | Rare
Reliquary Tender | lvl 1 | rank 3 | Rare
Reliquary Tender | lvl 1 | rank 3 | Rare
Reliquary Tender | lvl 1 | rank 3 | Rare
Redcloak Taneko | lvl 1 | rank 3 | Rare
Redcloak Taneko | lvl 1 | rank 3 | Rare
Redcloak Taneko | lvl 1 | rank 3 | Rare
Redcloak Taneko | lvl 1 | rank 3 | Rare
Purgator | lvl 1 | rank 3 | Rare
Purgator | lvl 1 | rank 3 | Rare
Purgator | lvl 1 | rank 3 | Rare
Purgator | lvl 1 | rank 3 | Rare
Petrifya Rockroot | lvl 1 | rank 3 | Rare
Petrifya Rockroot | lvl 1 | rank 3 | Rare
Petrifya Rockroot | lvl 1 | rank 3 | Rare
Petrifya Rockroot | lvl 1 | rank 3 | Rare
Pain Keeper | lvl 1 | rank 3 | Rare
Ogryn Jailer | lvl 1 | rank 3 | Rare
Ogryn Jailer | lvl 1 | rank 3 | Rare
Odachi | lvl 1 | rank 3 | Rare
Odachi | lvl 1 | rank 3 | Rare
Mystic Hand | lvl 1 | rank 3 | Rare
Myrmidon | lvl 1 | rank 3 | Rare
Myrmidon | lvl 1 | rank 3 | Rare
Muckstalker | lvl 1 | rank 3 | Rare
Muckstalker | lvl 1 | rank 3 | Rare
Muckstalker | lvl 1 | rank 3 | Rare
Medicus | lvl 1 | rank 3 | Rare
Meatcarver Tolog | lvl 1 | rank 3 | Rare
Meatcarver Tolog | lvl 1 | rank 3 | Rare
Meatcarver Tolog | lvl 1 | rank 3 | Rare
Meatcarver Tolog | lvl 1 | rank 3 | Rare
Marquis | lvl 1 | rank 3 | Rare
Marquis | lvl 1 | rank 3 | Rare
Marked | lvl 1 | rank 3 | Rare
Marked | lvl 1 | rank 3 | Rare
Magus | lvl 1 | rank 3 | Rare
Lumberer | lvl 1 | rank 3 | Rare
Lumberer | lvl 1 | rank 3 | Rare
Longsword Torrux | lvl 1 | rank 3 | Rare
Longsword Torrux | lvl 1 | rank 3 | Rare
Longsword Torrux | lvl 1 | rank 3 | Rare
Loneblade Riab | lvl 1 | rank 3 | Rare
Lamibur | lvl 1 | rank 3 | Rare
Kurzad Deepheart | lvl 1 | rank 3 | Rare
